PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,AGE_GROUP,n
1001,000,37B,30-49,1
1001,001,46,16-17,6
1001,001,46,18-29,350
1001,001,46,30-49,1382
1001,001,46,50-64,301
1001,001,46,65+,333
1002,001,46,16-17,5
1002,001,46,18-29,495
1002,001,46,30-49,1626
1002,001,46,50-64,545
1002,001,46,65+,476
1003,001,46,16-17,3
1003,001,46,18-29,481
1003,001,46,30-49,1533
1003,001,46,50-64,408
1003,001,46,65+,502
1004,001,46,16-17,4
1004,001,46,18-29,580
1004,001,46,30-49,2038
1004,001,46,50-64,688
1004,001,46,65+,858
1005,001,46,18-29,846
1005,001,46,30-49,2691
1005,001,46,50-64,587
1005,001,46,65+,741
1005,001,46,NA,1
2001,013,46,16-17,3
2001,013,46,18-29,313
2001,013,46,30-49,988
2001,013,46,50-64,251
2001,013,46,65+,263
2001,013,46,NA,4
2002,001,46,16-17,5
2002,001,46,18-29,522
2002,001,46,30-49,1538
2002,001,46,50-64,400
2002,001,46,65+,401
2003,001,46,16-17,2
2003,001,46,18-29,700
2003,001,46,30-49,2319
2003,001,46,50-64,758
2003,001,46,65+,731
2003,001,46,NA,1
3001,012,46,16-17,2
3001,012,46,18-29,179
3001,012,46,30-49,585
3001,012,46,50-64,458
3001,012,46,65+,385
3001,012,46,NA,6
3002,012,46,16-17,2
3002,012,46,18-29,130
3002,012,46,30-49,529
3002,012,46,50-64,383
3002,012,46,65+,188
3002,012,46,NA,3
3003,001,46,16-17,1
3003,001,46,18-29,591
3003,001,46,30-49,1816
3003,001,46,50-64,831
3003,001,46,65+,746
4001,011,46,18-29,819
4001,011,46,30-49,1499
4001,011,46,50-64,442
4001,011,46,65+,497
4002,011,40,16-17,3
4002,011,40,18-29,958
4002,011,40,30-49,2708
4002,011,40,50-64,803
4002,011,40,65+,490
4002,011,40,NA,5
4003,011,40,16-17,2
4003,011,40,18-29,116
4003,011,40,30-49,256
4003,011,40,50-64,160
4003,011,40,65+,233
4003,011,40,NA,2
5001,012,46,16-17,7
5001,012,46,18-29,181
5001,012,46,30-49,572
5001,012,46,50-64,692
5001,012,46,65+,739
5001,012,46,NA,6
5002,012,45,18-29,25
5002,012,45,30-49,141
5002,012,45,50-64,158
5002,012,45,65+,241
5002,012,45,NA,2
6001,013,46,18-29,12
6001,013,46,30-49,46
6001,013,46,50-64,22
6001,013,46,65+,24
6001,013,46,NA,1
6002,013,45,16-17,15
6002,013,45,18-29,439
6002,013,45,30-49,1058
6002,013,45,50-64,595
6002,013,45,65+,575
6002,013,45,NA,4
6003,013,45,16-17,4
6003,013,45,18-29,95
6003,013,45,30-49,248
6003,013,45,50-64,167
6003,013,45,65+,349
6003,013,45,NA,3
6004,013,46,16-17,3
6004,013,46,18-29,340
6004,013,46,30-49,932
6004,013,46,50-64,320
6004,013,46,65+,300
6004,013,46,NA,2
6005,001,46,16-17,10
6005,001,46,18-29,631
6005,001,46,30-49,2155
6005,001,46,50-64,560
6005,001,46,65+,591
6005,001,46,NA,6
7001,012,45,16-17,8
7001,012,45,18-29,220
7001,012,45,30-49,546
7001,012,45,50-64,352
7001,012,45,65+,421
7001,012,45,NA,3
7002,013,45,16-17,2
7002,013,45,18-29,130
7002,013,45,30-49,247
7002,013,45,50-64,123
7002,013,45,65+,154
7002,013,45,NA,1
7003,013,45,16-17,12
7003,013,45,18-29,455
7003,013,45,30-49,1102
7003,013,45,50-64,776
7003,013,45,65+,681
7003,013,45,NA,6
7004,013,45,16-17,12
7004,013,45,18-29,353
7004,013,45,30-49,1035
7004,013,45,50-64,697
7004,013,45,65+,725
7004,013,45,NA,5
8001,003,45,16-17,2
8001,003,45,18-29,17
8001,003,45,30-49,32
8001,003,45,50-64,32
8001,003,45,65+,32
8002,013,45,16-17,13
8002,013,45,18-29,316
8002,013,45,30-49,653
8002,013,45,50-64,431
8002,013,45,65+,405
8003,013,45,16-17,10
8003,013,45,18-29,317
8003,013,45,30-49,754
8003,013,45,50-64,555
8003,013,45,65+,554
8003,013,45,NA,2
8004,014,45,16-17,5
8004,014,45,18-29,76
8004,014,45,30-49,168
8004,014,45,50-64,134
8004,014,45,65+,186
8005,012,45,16-17,11
8005,012,45,18-29,252
8005,012,45,30-49,634
8005,012,45,50-64,598
8005,012,45,65+,788
8005,012,45,NA,4
8006,012,45,16-17,10
8006,012,45,18-29,409
8006,012,45,30-49,1047
8006,012,45,50-64,841
8006,012,45,65+,1111
8006,012,45,NA,3
8007,013,45,16-17,6
8007,013,45,18-29,252
8007,013,45,30-49,704
8007,013,45,50-64,663
8007,013,45,65+,703
8007,013,45,NA,2
8008,003,45,16-17,6
8008,003,45,18-29,141
8008,003,45,30-49,448
8008,003,45,50-64,305
8008,003,45,65+,394
8008,003,45,NA,1
8009,003,45,18-29,15
8009,003,45,30-49,33
8009,003,45,50-64,19
8009,003,45,65+,22
8010,013,45,16-17,13
8010,013,45,18-29,430
8010,013,45,30-49,1019
8010,013,45,50-64,987
8010,013,45,65+,1590
8010,013,45,NA,10
8011,013,45,16-17,3
8011,013,45,18-29,73
8011,013,45,30-49,171
8011,013,45,50-64,176
8011,013,45,65+,256
8011,013,45,NA,2
9001,004,43A,16-17,6
9001,004,43A,18-29,160
9001,004,43A,30-49,327
9001,004,43A,50-64,221
9001,004,43A,65+,192
9001,004,43A,NA,1
9002,004,43A,16-17,3
9002,004,43A,18-29,170
9002,004,43A,30-49,474
9002,004,43A,50-64,361
9002,004,43A,65+,427
9002,004,43A,NA,4
9003,014,43A,16-17,9
9003,014,43A,18-29,256
9003,014,43A,30-49,732
9003,014,43A,50-64,376
9003,014,43A,65+,459
9003,014,43A,NA,2
9004,014,43A,16-17,15
9004,014,43A,18-29,261
9004,014,43A,30-49,957
9004,014,43A,50-64,554
9004,014,43A,65+,1244
9004,014,43A,NA,4
9005,014,43A,16-17,16
9005,014,43A,18-29,251
9005,014,43A,30-49,719
9005,014,43A,50-64,499
9005,014,43A,65+,814
9006,014,43A,16-17,18
9006,014,43A,18-29,398
9006,014,43A,30-49,980
9006,014,43A,50-64,700
9006,014,43A,65+,1086
9006,014,43A,NA,4
9007,014,45,16-17,6
9007,014,45,18-29,187
9007,014,45,30-49,513
9007,014,45,50-64,361
9007,014,45,65+,510
9007,014,45,NA,1
9008,014,45,16-17,6
9008,014,45,18-29,321
9008,014,45,30-49,747
9008,014,45,50-64,631
9008,014,45,65+,707
9008,014,45,NA,7
9009,014,43A,16-17,3
9009,014,43A,18-29,171
9009,014,43A,30-49,382
9009,014,43A,50-64,307
9009,014,43A,65+,292
9009,014,43A,NA,1
9010,014,43A,16-17,6
9010,014,43A,18-29,218
9010,014,43A,30-49,623
9010,014,43A,50-64,398
9010,014,43A,65+,402
9010,014,43A,NA,5
9011,014,43A,16-17,1
9011,014,43A,18-29,51
9011,014,43A,30-49,169
9011,014,43A,50-64,126
9011,014,43A,65+,104
9012,014,43A,16-17,4
9012,014,43A,18-29,178
9012,014,43A,30-49,432
9012,014,43A,50-64,393
9012,014,43A,65+,406
9012,014,43A,NA,1
9013,012,45,16-17,7
9013,012,45,18-29,144
9013,012,45,30-49,383
9013,012,45,50-64,345
9013,012,45,65+,517
9013,012,45,NA,1
9014,012,43A,16-17,3
9014,012,43A,18-29,154
9014,012,43A,30-49,470
9014,012,43A,50-64,410
9014,012,43A,65+,530
9015,012,45,16-17,11
9015,012,45,18-29,301
9015,012,45,30-49,735
9015,012,45,50-64,625
9015,012,45,65+,832
9015,012,45,NA,9
10001,012,45,16-17,9
10001,012,45,18-29,219
10001,012,45,30-49,438
10001,012,45,50-64,369
10001,012,45,65+,378
