Precinct,Variable,Count
016-013,REGISTERED VOTERS - TOTAL,1490
016-014,REGISTERED VOTERS - TOTAL,2777
017-001,REGISTERED VOTERS - TOTAL,180
017-002,REGISTERED VOTERS - TOTAL,2668
018-001,REGISTERED VOTERS - TOTAL,979
018-002,REGISTERED VOTERS - TOTAL,1687
019-001,REGISTERED VOTERS - TOTAL,1112
019-002,REGISTERED VOTERS - TOTAL,1831
019-003,REGISTERED VOTERS - TOTAL,189
020-001,REGISTERED VOTERS - TOTAL,1377
020-002,REGISTERED VOTERS - TOTAL,586
020-003,REGISTERED VOTERS - TOTAL,1554
020-004,REGISTERED VOTERS - TOTAL,200
020-005,REGISTERED VOTERS - TOTAL,939
020-006,REGISTERED VOTERS - TOTAL,2839
020-007,REGISTERED VOTERS - TOTAL,1914
020-008,REGISTERED VOTERS - TOTAL,630
020-009,REGISTERED VOTERS - TOTAL,617
020-010,REGISTERED VOTERS - TOTAL,496
020-011,REGISTERED VOTERS - TOTAL,1202
021-001,REGISTERED VOTERS - TOTAL,822
021-002,REGISTERED VOTERS - TOTAL,1425
021-003,REGISTERED VOTERS - TOTAL,1932
021-004,REGISTERED VOTERS - TOTAL,332
022-001,REGISTERED VOTERS - TOTAL,1321
022-002,REGISTERED VOTERS - TOTAL,1477
023-001,REGISTERED VOTERS - TOTAL,1379
023-002,REGISTERED VOTERS - TOTAL,1171
023-003,REGISTERED VOTERS - TOTAL,2157
024-001,REGISTERED VOTERS - TOTAL,664
024-002,REGISTERED VOTERS - TOTAL,826
024-003,REGISTERED VOTERS - TOTAL,1683
024-004,REGISTERED VOTERS - TOTAL,2422
024-005,REGISTERED VOTERS - TOTAL,3724
025-001,REGISTERED VOTERS - TOTAL,2738
025-002,REGISTERED VOTERS - TOTAL,1893
025-003,REGISTERED VOTERS - TOTAL,872
025-004,REGISTERED VOTERS - TOTAL,2287
025-005,REGISTERED VOTERS - TOTAL,1793
025-006,REGISTERED VOTERS - TOTAL,877
025-007,REGISTERED VOTERS - TOTAL,400
025-008,REGISTERED VOTERS - TOTAL,2111
025-009,REGISTERED VOTERS - TOTAL,1146
025-010,REGISTERED VOTERS - TOTAL,1199
025-011,REGISTERED VOTERS - TOTAL,597
025-012,REGISTERED VOTERS - TOTAL,1164
025-013,REGISTERED VOTERS - TOTAL,724
025-014,REGISTERED VOTERS - TOTAL,1034
025-015,REGISTERED VOTERS - TOTAL,1059
025-016,REGISTERED VOTERS - TOTAL,1448
025-017,REGISTERED VOTERS - TOTAL,1398
026-001,REGISTERED VOTERS - TOTAL,296
026-002,REGISTERED VOTERS - TOTAL,1510
026-003,REGISTERED VOTERS - TOTAL,1196
026-004,REGISTERED VOTERS - TOTAL,808
026-005,REGISTERED VOTERS - TOTAL,437
026-006,REGISTERED VOTERS - TOTAL,873
026-007,REGISTERED VOTERS - TOTAL,1394
026-008,REGISTERED VOTERS - TOTAL,1563
026-009,REGISTERED VOTERS - TOTAL,2994
026-010,REGISTERED VOTERS - TOTAL,1971
026-011,REGISTERED VOTERS - TOTAL,861
026-012,REGISTERED VOTERS - TOTAL,423
026-013,REGISTERED VOTERS - TOTAL,775
026-014,REGISTERED VOTERS - TOTAL,732
026-015,REGISTERED VOTERS - TOTAL,1551
026-016,REGISTERED VOTERS - TOTAL,1201
026-017,REGISTERED VOTERS - TOTAL,578
026-018,REGISTERED VOTERS - TOTAL,1046
026-019,REGISTERED VOTERS - TOTAL,1385
026-020,REGISTERED VOTERS - TOTAL,747
026-021,REGISTERED VOTERS - TOTAL,939
026-022,REGISTERED VOTERS - TOTAL,737
026-023,REGISTERED VOTERS - TOTAL,1128
026-024,REGISTERED VOTERS - TOTAL,2025
026-025,REGISTERED VOTERS - TOTAL,1555
026-026,REGISTERED VOTERS - TOTAL,1726
026-027,REGISTERED VOTERS - TOTAL,1327
026-028,REGISTERED VOTERS - TOTAL,1153
026-029,REGISTERED VOTERS - TOTAL,3994
026-030,REGISTERED VOTERS - TOTAL,938
026-031,REGISTERED VOTERS - TOTAL,789
026-032,REGISTERED VOTERS - TOTAL,1752
026-033,REGISTERED VOTERS - TOTAL,1501
027-001,REGISTERED VOTERS - TOTAL,2170
027-002,REGISTERED VOTERS - TOTAL,626
027-003,REGISTERED VOTERS - TOTAL,710
027-004,REGISTERED VOTERS - TOTAL,579
027-005,REGISTERED VOTERS - TOTAL,2330
027-006,REGISTERED VOTERS - TOTAL,3006
027-007,REGISTERED VOTERS - TOTAL,1217
027-008,REGISTERED VOTERS - TOTAL,2421
027-009,REGISTERED VOTERS - TOTAL,1456
027-010,REGISTERED VOTERS - TOTAL,734
027-011,REGISTERED VOTERS - TOTAL,2414
027-012,REGISTERED VOTERS - TOTAL,614
027-013,REGISTERED VOTERS - TOTAL,2724
027-014,REGISTERED VOTERS - TOTAL,2502
027-015,REGISTERED VOTERS - TOTAL,2009
027-016,REGISTERED VOTERS - TOTAL,717
027-017,REGISTERED VOTERS - TOTAL,1453
027-018,REGISTERED VOTERS - TOTAL,1638
027-019,REGISTERED VOTERS - TOTAL,1196
027-020,REGISTERED VOTERS - TOTAL,2282
027-021,REGISTERED VOTERS - TOTAL,1845
027-022,REGISTERED VOTERS - TOTAL,2513
027-023,REGISTERED VOTERS - TOTAL,550
027-024,REGISTERED VOTERS - TOTAL,574
027-025,REGISTERED VOTERS - TOTAL,1232
027-026,REGISTERED VOTERS - TOTAL,794
027-027,REGISTERED VOTERS - TOTAL,1632
027-028,REGISTERED VOTERS - TOTAL,1231
027-029,REGISTERED VOTERS - TOTAL,872
027-030,REGISTERED VOTERS - TOTAL,1381
027-031,REGISTERED VOTERS - TOTAL,2148
027-032,REGISTERED VOTERS - TOTAL,2393
027-033,REGISTERED VOTERS - TOTAL,2268
027-034,REGISTERED VOTERS - TOTAL,1767
027-035,REGISTERED VOTERS - TOTAL,2814
027-036,REGISTERED VOTERS - TOTAL,920
027-037,REGISTERED VOTERS - TOTAL,1850
027-038,REGISTERED VOTERS - TOTAL,245
027-039,REGISTERED VOTERS - TOTAL,456
027-040,REGISTERED VOTERS - TOTAL,2166
027-041,REGISTERED VOTERS - TOTAL,1198
027-042,REGISTERED VOTERS - TOTAL,1749
027-043,REGISTERED VOTERS - TOTAL,779
027-044,REGISTERED VOTERS - TOTAL,1200
027-045,REGISTERED VOTERS - TOTAL,1736
027-046,REGISTERED VOTERS - TOTAL,747
027-047,REGISTERED VOTERS - TOTAL,1249
027-048,REGISTERED VOTERS - TOTAL,987
027-049,REGISTERED VOTERS - TOTAL,3039
027-050,REGISTERED VOTERS - TOTAL,1161
027-051,REGISTERED VOTERS - TOTAL,216
027-052,REGISTERED VOTERS - TOTAL,2465
027-053,REGISTERED VOTERS - TOTAL,1470
027-054,REGISTERED VOTERS - TOTAL,872
027-055,REGISTERED VOTERS - TOTAL,369
027-056,REGISTERED VOTERS - TOTAL,868
027-057,REGISTERED VOTERS - TOTAL,1885
027-058,REGISTERED VOTERS - TOTAL,636
027-059,REGISTERED VOTERS - TOTAL,912
027-060,REGISTERED VOTERS - TOTAL,1523
027-061,REGISTERED VOTERS - TOTAL,751
027-062,REGISTERED VOTERS - TOTAL,1922
027-063,REGISTERED VOTERS - TOTAL,1951
027-064,REGISTERED VOTERS - TOTAL,1887
027-065,REGISTERED VOTERS - TOTAL,3058
027-066,REGISTERED VOTERS - TOTAL,2465
027-067,REGISTERED VOTERS - TOTAL,2115
027-069,REGISTERED VOTERS - TOTAL,138
028-001,REGISTERED VOTERS - TOTAL,1310
028-002,REGISTERED VOTERS - TOTAL,2025
028-003,REGISTERED VOTERS - TOTAL,435
028-004,REGISTERED VOTERS - TOTAL,689
028-005,REGISTERED VOTERS - TOTAL,1618
028-006,REGISTERED VOTERS - TOTAL,2356
028-007,REGISTERED VOTERS - TOTAL,1127
028-008,REGISTERED VOTERS - TOTAL,1498
028-009,REGISTERED VOTERS - TOTAL,1922
028-010,REGISTERED VOTERS - TOTAL,1904
028-011,REGISTERED VOTERS - TOTAL,1912
028-012,REGISTERED VOTERS - TOTAL,1427
028-013,REGISTERED VOTERS - TOTAL,1371
028-014,REGISTERED VOTERS - TOTAL,562
028-015,REGISTERED VOTERS - TOTAL,1814
001-001,BALLOTS CAST - TOTAL,1031
001-002,BALLOTS CAST - TOTAL,976
001-003,BALLOTS CAST - TOTAL,864
001-004,BALLOTS CAST - TOTAL,1145
001-005,BALLOTS CAST - TOTAL,1546
002-001,BALLOTS CAST - TOTAL,528
002-002,BALLOTS CAST - TOTAL,831
002-003,BALLOTS CAST - TOTAL,1138
003-001,BALLOTS CAST - TOTAL,201
003-002,BALLOTS CAST - TOTAL,136
003-003,BALLOTS CAST - TOTAL,1014
004-001,BALLOTS CAST - TOTAL,609
004-002,BALLOTS CAST - TOTAL,706
004-003,BALLOTS CAST - TOTAL,137
005-001,BALLOTS CAST - TOTAL,210
005-002,BALLOTS CAST - TOTAL,49
006-001,BALLOTS CAST - TOTAL,25
006-002,BALLOTS CAST - TOTAL,437
006-003,BALLOTS CAST - TOTAL,147
006-004,BALLOTS CAST - TOTAL,534
006-005,BALLOTS CAST - TOTAL,1192
007-001,BALLOTS CAST - TOTAL,223
007-002,BALLOTS CAST - TOTAL,104
007-003,BALLOTS CAST - TOTAL,456
007-004,BALLOTS CAST - TOTAL,401
008-001,BALLOTS CAST - TOTAL,55
008-002,BALLOTS CAST - TOTAL,340
008-003,BALLOTS CAST - TOTAL,326
008-004,BALLOTS CAST - TOTAL,74
008-005,BALLOTS CAST - TOTAL,310
008-006,BALLOTS CAST - TOTAL,593
008-007,BALLOTS CAST - TOTAL,238
008-008,BALLOTS CAST - TOTAL,525
008-009,BALLOTS CAST - TOTAL,11
008-010,BALLOTS CAST - TOTAL,744
008-011,BALLOTS CAST - TOTAL,101
009-001,BALLOTS CAST - TOTAL,195
009-002,BALLOTS CAST - TOTAL,327
009-003,BALLOTS CAST - TOTAL,556
009-004,BALLOTS CAST - TOTAL,1126
009-005,BALLOTS CAST - TOTAL,798
009-006,BALLOTS CAST - TOTAL,1077
009-007,BALLOTS CAST - TOTAL,346
009-008,BALLOTS CAST - TOTAL,337
009-009,BALLOTS CAST - TOTAL,279
009-010,BALLOTS CAST - TOTAL,398
009-011,BALLOTS CAST - TOTAL,51
009-012,BALLOTS CAST - TOTAL,220
009-013,BALLOTS CAST - TOTAL,178
009-014,BALLOTS CAST - TOTAL,223
009-015,BALLOTS CAST - TOTAL,349
010-001,BALLOTS CAST - TOTAL,274
010-002,BALLOTS CAST - TOTAL,286
010-003,BALLOTS CAST - TOTAL,55
010-004,BALLOTS CAST - TOTAL,149
011-001,BALLOTS CAST - TOTAL,773
011-002,BALLOTS CAST - TOTAL,203
011-003,BALLOTS CAST - TOTAL,700
011-004,BALLOTS CAST - TOTAL,46
011-005,BALLOTS CAST - TOTAL,711
011-006,BALLOTS CAST - TOTAL,740
011-007,BALLOTS CAST - TOTAL,664
011-008,BALLOTS CAST - TOTAL,0
012-001,BALLOTS CAST - TOTAL,1599
012-002,BALLOTS CAST - TOTAL,153
012-003,BALLOTS CAST - TOTAL,376
012-004,BALLOTS CAST - TOTAL,547
012-005,BALLOTS CAST - TOTAL,556
012-006,BALLOTS CAST - TOTAL,476
012-007,BALLOTS CAST - TOTAL,579
012-008,BALLOTS CAST - TOTAL,1414
012-009,BALLOTS CAST - TOTAL,101
012-010,BALLOTS CAST - TOTAL,508
012-011,BALLOTS CAST - TOTAL,200
012-012,BALLOTS CAST - TOTAL,658
013-001,BALLOTS CAST - TOTAL,578
013-002,BALLOTS CAST - TOTAL,994
013-003,BALLOTS CAST - TOTAL,386
013-004,BALLOTS CAST - TOTAL,1503
013-005,BALLOTS CAST - TOTAL,551
013-006,BALLOTS CAST - TOTAL,169
013-007,BALLOTS CAST - TOTAL,273
013-008,BALLOTS CAST - TOTAL,599
013-009,BALLOTS CAST - TOTAL,414
013-010,BALLOTS CAST - TOTAL,616
013-011,BALLOTS CAST - TOTAL,1536
013-012,BALLOTS CAST - TOTAL,830
014-001,BALLOTS CAST - TOTAL,451
014-002,BALLOTS CAST - TOTAL,393
014-003,BALLOTS CAST - TOTAL,161
014-004,BALLOTS CAST - TOTAL,702
014-005,BALLOTS CAST - TOTAL,120
015-001,BALLOTS CAST - TOTAL,463
015-002,BALLOTS CAST - TOTAL,316
015-003,BALLOTS CAST - TOTAL,666
015-004,BALLOTS CAST - TOTAL,356
015-005,BALLOTS CAST - TOTAL,546
015-006,BALLOTS CAST - TOTAL,576
015-007,BALLOTS CAST - TOTAL,427
015-008,BALLOTS CAST - TOTAL,333
015-009,BALLOTS CAST - TOTAL,789
015-010,BALLOTS CAST - TOTAL,513
015-011,BALLOTS CAST - TOTAL,354
015-012,BALLOTS CAST - TOTAL,49
015-013,BALLOTS CAST - TOTAL,163
015-014,BALLOTS CAST - TOTAL,402
015-015,BALLOTS CAST - TOTAL,191
015-016,BALLOTS CAST - TOTAL,166
015-017,BALLOTS CAST - TOTAL,303
015-018,BALLOTS CAST - TOTAL,451
015-019,BALLOTS CAST - TOTAL,37
015-020,BALLOTS CAST - TOTAL,487
015-021,BALLOTS CAST - TOTAL,325
015-022,BALLOTS CAST - TOTAL,297
015-023,BALLOTS CAST - TOTAL,356
015-024,BALLOTS CAST - TOTAL,442
015-025,BALLOTS CAST - TOTAL,140
016-001,BALLOTS CAST - TOTAL,138
016-002,BALLOTS CAST - TOTAL,249
016-003,BALLOTS CAST - TOTAL,137
016-004,BALLOTS CAST - TOTAL,81
016-005,BALLOTS CAST - TOTAL,406
016-006,BALLOTS CAST - TOTAL,410
016-007,BALLOTS CAST - TOTAL,359
016-008,BALLOTS CAST - TOTAL,216
016-009,BALLOTS CAST - TOTAL,284
016-010,BALLOTS CAST - TOTAL,188
016-011,BALLOTS CAST - TOTAL,152
016-012,BALLOTS CAST - TOTAL,355
016-013,BALLOTS CAST - TOTAL,377
016-014,BALLOTS CAST - TOTAL,826
017-001,BALLOTS CAST - TOTAL,38
017-002,BALLOTS CAST - TOTAL,683
018-001,BALLOTS CAST - TOTAL,210
018-002,BALLOTS CAST - TOTAL,446
019-001,BALLOTS CAST - TOTAL,237
019-002,BALLOTS CAST - TOTAL,232
019-003,BALLOTS CAST - TOTAL,29
020-001,BALLOTS CAST - TOTAL,322
020-002,BALLOTS CAST - TOTAL,324
020-003,BALLOTS CAST - TOTAL,325
020-004,BALLOTS CAST - TOTAL,53
020-005,BALLOTS CAST - TOTAL,243
020-006,BALLOTS CAST - TOTAL,814
020-007,BALLOTS CAST - TOTAL,518
020-008,BALLOTS CAST - TOTAL,162
020-009,BALLOTS CAST - TOTAL,133
020-010,BALLOTS CAST - TOTAL,75
020-011,BALLOTS CAST - TOTAL,177
021-001,BALLOTS CAST - TOTAL,344
021-002,BALLOTS CAST - TOTAL,590
021-003,BALLOTS CAST - TOTAL,571
021-004,BALLOTS CAST - TOTAL,146
022-001,BALLOTS CAST - TOTAL,647
022-002,BALLOTS CAST - TOTAL,910
023-001,BALLOTS CAST - TOTAL,644
023-002,BALLOTS CAST - TOTAL,458
023-003,BALLOTS CAST - TOTAL,961
024-001,BALLOTS CAST - TOTAL,391
024-002,BALLOTS CAST - TOTAL,457
024-003,BALLOTS CAST - TOTAL,986
024-004,BALLOTS CAST - TOTAL,1284
024-005,BALLOTS CAST - TOTAL,2176
025-001,BALLOTS CAST - TOTAL,1047
025-002,BALLOTS CAST - TOTAL,541
025-003,BALLOTS CAST - TOTAL,360
025-004,BALLOTS CAST - TOTAL,562
025-005,BALLOTS CAST - TOTAL,441
025-006,BALLOTS CAST - TOTAL,234
025-007,BALLOTS CAST - TOTAL,90
025-008,BALLOTS CAST - TOTAL,372
025-009,BALLOTS CAST - TOTAL,247
025-010,BALLOTS CAST - TOTAL,293
025-011,BALLOTS CAST - TOTAL,150
025-012,BALLOTS CAST - TOTAL,230
025-013,BALLOTS CAST - TOTAL,123
025-014,BALLOTS CAST - TOTAL,144
025-015,BALLOTS CAST - TOTAL,203
025-016,BALLOTS CAST - TOTAL,285
025-017,BALLOTS CAST - TOTAL,404
026-001,BALLOTS CAST - TOTAL,66
026-002,BALLOTS CAST - TOTAL,296
026-003,BALLOTS CAST - TOTAL,331
026-004,BALLOTS CAST - TOTAL,220
026-005,BALLOTS CAST - TOTAL,161
026-006,BALLOTS CAST - TOTAL,246
026-007,BALLOTS CAST - TOTAL,481
026-008,BALLOTS CAST - TOTAL,720
026-009,BALLOTS CAST - TOTAL,1570
026-010,BALLOTS CAST - TOTAL,823
026-011,BALLOTS CAST - TOTAL,218
026-012,BALLOTS CAST - TOTAL,69
026-013,BALLOTS CAST - TOTAL,176
026-014,BALLOTS CAST - TOTAL,157
026-015,BALLOTS CAST - TOTAL,453
026-016,BALLOTS CAST - TOTAL,402
026-017,BALLOTS CAST - TOTAL,129
026-018,BALLOTS CAST - TOTAL,570
026-019,BALLOTS CAST - TOTAL,408
026-020,BALLOTS CAST - TOTAL,246
026-021,BALLOTS CAST - TOTAL,234
026-022,BALLOTS CAST - TOTAL,259
026-023,BALLOTS CAST - TOTAL,297
026-024,BALLOTS CAST - TOTAL,601
026-025,BALLOTS CAST - TOTAL,365
026-026,BALLOTS CAST - TOTAL,587
026-027,BALLOTS CAST - TOTAL,561
026-028,BALLOTS CAST - TOTAL,424
026-029,BALLOTS CAST - TOTAL,1264
026-030,BALLOTS CAST - TOTAL,372
026-031,BALLOTS CAST - TOTAL,324
026-032,BALLOTS CAST - TOTAL,507
026-033,BALLOTS CAST - TOTAL,306
027-001,BALLOTS CAST - TOTAL,882
027-002,BALLOTS CAST - TOTAL,430
027-003,BALLOTS CAST - TOTAL,481
027-004,BALLOTS CAST - TOTAL,275
027-005,BALLOTS CAST - TOTAL,1043
027-006,BALLOTS CAST - TOTAL,1100
027-007,BALLOTS CAST - TOTAL,366
027-008,BALLOTS CAST - TOTAL,920
027-009,BALLOTS CAST - TOTAL,653
027-010,BALLOTS CAST - TOTAL,320
027-011,BALLOTS CAST - TOTAL,1026
027-012,BALLOTS CAST - TOTAL,259
027-013,BALLOTS CAST - TOTAL,836
027-014,BALLOTS CAST - TOTAL,1149
027-015,BALLOTS CAST - TOTAL,792
027-016,BALLOTS CAST - TOTAL,410
027-017,BALLOTS CAST - TOTAL,559
027-018,BALLOTS CAST - TOTAL,616
027-019,BALLOTS CAST - TOTAL,384
027-020,BALLOTS CAST - TOTAL,970
027-021,BALLOTS CAST - TOTAL,771
027-022,BALLOTS CAST - TOTAL,1075
027-023,BALLOTS CAST - TOTAL,243
027-024,BALLOTS CAST - TOTAL,163
027-025,BALLOTS CAST - TOTAL,456
027-026,BALLOTS CAST - TOTAL,504
027-027,BALLOTS CAST - TOTAL,647
027-028,BALLOTS CAST - TOTAL,457
027-029,BALLOTS CAST - TOTAL,265
027-030,BALLOTS CAST - TOTAL,478
027-031,BALLOTS CAST - TOTAL,821
027-032,BALLOTS CAST - TOTAL,1098
027-033,BALLOTS CAST - TOTAL,936
027-034,BALLOTS CAST - TOTAL,668
027-035,BALLOTS CAST - TOTAL,811
027-036,BALLOTS CAST - TOTAL,231
027-037,BALLOTS CAST - TOTAL,953
027-038,BALLOTS CAST - TOTAL,50
027-039,BALLOTS CAST - TOTAL,280
027-040,BALLOTS CAST - TOTAL,1426
027-041,BALLOTS CAST - TOTAL,753
027-042,BALLOTS CAST - TOTAL,1046
027-043,BALLOTS CAST - TOTAL,552
027-044,BALLOTS CAST - TOTAL,817
027-045,BALLOTS CAST - TOTAL,1156
027-046,BALLOTS CAST - TOTAL,511
027-047,BALLOTS CAST - TOTAL,633
027-048,BALLOTS CAST - TOTAL,537
027-049,BALLOTS CAST - TOTAL,1863
027-050,BALLOTS CAST - TOTAL,748
027-051,BALLOTS CAST - TOTAL,72
027-052,BALLOTS CAST - TOTAL,675
027-053,BALLOTS CAST - TOTAL,366
027-054,BALLOTS CAST - TOTAL,162
027-055,BALLOTS CAST - TOTAL,132
027-056,BALLOTS CAST - TOTAL,212
027-057,BALLOTS CAST - TOTAL,493
027-058,BALLOTS CAST - TOTAL,198
027-059,BALLOTS CAST - TOTAL,402
027-060,BALLOTS CAST - TOTAL,569
027-061,BALLOTS CAST - TOTAL,304
027-062,BALLOTS CAST - TOTAL,773
027-063,BALLOTS CAST - TOTAL,728
027-064,BALLOTS CAST - TOTAL,816
027-065,BALLOTS CAST - TOTAL,1234
027-066,BALLOTS CAST - TOTAL,1003
027-067,BALLOTS CAST - TOTAL,755
027-069,BALLOTS CAST - TOTAL,82
028-001,BALLOTS CAST - TOTAL,447
028-002,BALLOTS CAST - TOTAL,739
028-003,BALLOTS CAST - TOTAL,163
028-004,BALLOTS CAST - TOTAL,241
028-005,BALLOTS CAST - TOTAL,560
028-006,BALLOTS CAST - TOTAL,830
028-007,BALLOTS CAST - TOTAL,429
028-008,BALLOTS CAST - TOTAL,504
028-009,BALLOTS CAST - TOTAL,639
028-010,BALLOTS CAST - TOTAL,824
028-011,BALLOTS CAST - TOTAL,804
028-012,BALLOTS CAST - TOTAL,640
028-013,BALLOTS CAST - TOTAL,596
028-014,BALLOTS CAST - TOTAL,178
028-015,BALLOTS CAST - TOTAL,723
001-001,BALLOTS CAST - BLANK,171
001-002,BALLOTS CAST - BLANK,39
001-003,BALLOTS CAST - BLANK,30
001-004,BALLOTS CAST - BLANK,37
001-005,BALLOTS CAST - BLANK,34
002-001,BALLOTS CAST - BLANK,12
